400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,布號,revised,abort
18.75,16.6,15.42,14.71,14.46,14.56,15.03,15.91,17.24,18.54,20.07,21.97,24.31,27.12,30.65,34.97,39.77,45.23,51.03,56.73,62.48,67.89,72.16,75.56,78.27,80.57,82.34,83.74,85.3,85.76,86.31,69.11,25.68,39.23,46.89,56.79,228-9,0.5,FVF2429,0,0
8.8,7.34,6.57,6.14,5.99,6.07,6.35,6.86,7.66,8.55,9.56,10.9,12.63,14.91,17.76,21.38,25.47,30.18,35.5,41.04,47.06,53.36,59.1,64.45,69.25,73.28,76.64,79.18,81.72,82.53,83.6,58.62,32.92,47.56,57.84,55.31,228-9,1.5,FVF2429,0,0
5.25,4.23,3.81,3.59,3.45,3.49,3.67,3.98,4.4,4.98,5.64,6.54,7.8,9.58,11.88,14.94,18.58,22.85,27.72,32.92,38.65,44.89,50.82,56.8,62.35,67.39,71.64,74.97,78.32,79.48,81,52.35,36.82,50.22,62.27,53.75,228-9,3,FVF2429,0,0
56.81,58.44,58.24,56.51,53.9,51.03,48.22,46.1,43.9,42,40.42,39.38,39.18,39.26,40.38,42.92,47.03,53.41,61.51,69.73,76.74,81.46,83.85,85.12,85.8,86.49,87.08,87.45,88.16,88.18,88.4,77.8,26.53,2.39,26.64,5.15,244-4,0.06,FVF2429,0,0
41.8,40.33,37.23,33.54,29.93,26.7,23.88,21.93,20.05,18.47,17.25,16.45,16.3,16.47,17.22,19.04,22.17,27.3,34.62,43.72,54.45,65.02,72.45,77.06,79.5,81.24,82.64,83.5,84.72,84.99,85.53,61.91,42.46,5.04,42.76,6.77,244-4,0.5,FVF2429,0,0
30.15,27.94,24.87,21.38,18.24,15.53,13.24,11.73,10.36,9.23,8.38,7.87,7.75,7.88,8.45,9.62,11.88,15.92,21.98,29.78,39.53,50.76,60.43,67.82,72.54,75.77,78.21,80.03,82.13,82.92,83.96,51.71,49.73,8.17,50.39,9.33,244-4,1.5,FVF2429,0,0
22.75,20.38,17.45,14.39,11.74,9.57,7.86,6.77,5.84,5.13,4.6,4.29,4.22,4.32,4.71,5.37,6.87,9.84,14.81,21.57,30.2,40.09,48.9,56.01,60.97,64.66,67.76,70.17,72.87,73.96,76.13,44.28,51.49,10.66,52.58,11.7,244-4,3,FVF2429,0,0
43.97,43.98,42.95,41.62,40.46,39.9,40.04,40.6,41.75,42.21,42.11,41.71,41.35,40.78,39.87,38.86,37.77,36.75,36.04,35.61,35.48,35.51,35.82,36.93,39,41.88,45.48,49.29,55.37,58.97,64.6,68.64,-2.75,-2.54,3.75,222.7,F0G-6,0.06,FVF2429,0,0
21.51,20.3,18.91,17.5,16.5,16.02,16.06,16.44,17.3,17.61,17.61,17.33,17.03,16.66,15.98,15.14,14.32,13.58,13.09,12.81,12.72,12.74,12.97,13.78,15.23,17.3,20.05,22.92,27.83,30.97,36.25,45.89,-3.63,-3.79,5.24,226.24,F0G-6,0.5,FVF2429,0,0
11.07,9.92,8.87,7.91,7.26,6.98,6.96,7.16,7.58,7.8,7.74,7.56,7.35,7.1,6.71,6.19,5.7,5.33,5.04,4.9,4.86,4.89,5.03,5.42,6.24,7.45,9.23,11.2,14.93,17.55,21.85,30.12,-3.35,-4.72,5.79,234.63,F0G-6,1.5,FVF2429,0,0
